block_number,priceSlow,priceStandard,priceFast,priceFastest,scoreSlowPlus1,scoreStandardPlus1,scoreFastPlus1,scoreFastestPlus1,scoreSlowPlus2,scoreStandardPlus2,scoreFastPlus2,scoreFastestPlus2,scoreSlowPlus3,scoreStandardPlus3,scoreFastPlus3,scoreFastestPlus3,scoreSlowPlus4,scoreStandardPlus4,scoreFastPlus4,scoreFastestPlus4,scoreSlowPlus5,scoreStandardPlus5,scoreFastPlus5,scoreFastestPlus5,scoreSlowPlus6,scoreStandardPlus6,scoreFastPlus6,scoreFastestPlus6,scoreSlowPlus7,scoreStandardPlus7,scoreFastPlus7,scoreFastestPlus7,scoreSlowPlus8,scoreStandardPlus8,scoreFastPlus8,scoreFastestPlus8,scoreSlowPlus9,scoreStandardPlus9,scoreFastPlus9,scoreFastestPlus9,scoreSlowPlus10,scoreStandardPlus10,scoreFastPlus10,scoreFastestPlus10
7003677,2000000000.000,3000000000.000,10000000000.000,50000000000.000,88.485,66.061,28.485,1.818,32.500,27.500,7.500,0.000,100.000,71.257,37.126,2.395,100.000,100.000,40.278,5.556,100.000,77.536,28.261,2.174,100.000,100.000,54.348,16.304,44.565,44.022,14.130,0.543,92.199,59.574,22.695,4.965,91.489,80.851,53.191,18.085,100.000,89.677,24.516,1.290
7003951,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,100.000,100.000,0.000,100.000,100.000,93.916,10.266,100.000,100.000,9.239,1.630,100.000,100.000,97.854,2.146,4.762,4.762,4.762,1.587,100.000,100.000,12.000,1.000,100.000,57.059,31.176,1.176,90.000,37.778,23.333,3.333,36.893,28.155,10.680,0.000,100.000,100.000,100.000,23.611
7003684,2000000000.000,3000000000.000,10000000000.000,50000000000.000,92.199,59.574,22.695,4.965,91.489,80.851,53.191,18.085,100.000,89.677,24.516,1.290,97.887,14.085,2.817,0.000,33.784,27.027,4.054,0.000,99.355,78.710,18.710,1.935,86.066,78.689,18.033,0.820,34.351,31.298,13.740,0.000,100.000,100.000,44.000,6.667,30.275,17.431,0.917,0.000
7003745,2000000000.000,3000000000.000,10000000000.000,50000000000.000,99.363,94.904,39.490,4.459,71.329,58.741,18.182,1.399,100.000,100.000,100.000,14.815,100.000,100.000,75.510,4.490,100.000,100.000,47.248,4.587,100.000,100.000,28.877,3.743,100.000,67.593,14.815,1.852,100.000,62.500,21.324,1.471,100.000,100.000,26.190,7.143,100.000,81.081,33.784,6.081
7004033,2000000000.000,3000000000.000,10000000000.000,50000000000.000,80.159,72.222,7.937,0.794,72.222,54.630,33.333,3.704,72.510,72.510,62.550,6.773,100.000,100.000,100.000,23.077,99.444,99.444,62.778,3.333,100.000,100.000,37.903,0.806,77.914,40.491,10.429,0.613,55.670,31.959,16.495,2.062,86.885,75.410,22.951,0.000,66.379,61.207,32.759,3.448
7003730,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,100.000,40.588,1.765,54.808,54.808,22.115,2.404,100.000,94.406,23.077,0.000,2.222,2.222,2.222,0.000,98.810,42.857,15.476,0.000,100.000,100.000,100.000,16.000,100.000,99.394,24.242,0.000,100.000,100.000,100.000,11.111,98.693,62.745,23.529,3.268,100.000,100.000,100.000,0.000
7003851,2000000000.000,3000000000.000,10000000000.000,50000000000.000,98.639,70.748,23.810,2.041,100.000,100.000,100.000,20.370,100.000,100.000,27.273,0.649,100.000,100.000,100.000,18.750,100.000,100.000,64.286,3.571,100.000,100.000,5.952,2.381,76.098,76.098,14.146,1.463,100.000,100.000,81.046,14.379,100.000,100.000,12.805,2.439,100.000,100.000,71.429,0.000
7004002,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,100.000,91.005,10.582,100.000,100.000,68.449,1.604,67.094,67.094,61.966,11.538,92.623,88.525,11.475,1.639,100.000,100.000,77.439,5.488,100.000,100.000,68.116,2.899,100.000,100.000,76.471,0.000,100.000,100.000,17.986,0.719,100.000,100.000,100.000,9.341,63.393,63.393,33.482,0.446
7003470,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,89.320,41.748,6.796,100.000,100.000,47.368,0.000,100.000,100.000,100.000,0.000,92.857,77.143,32.857,1.429,95.370,82.407,40.741,4.630,95.139,68.750,27.083,5.556,87.500,62.500,25.000,0.000,89.147,19.380,6.202,1.550,46.429,46.429,46.429,1.190,73.936,58.511,9.043,0.532
7003634,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,100.000,63.492,11.905,100.000,100.000,100.000,25.806,100.000,100.000,26.455,1.058,100.000,98.734,27.848,3.797,100.000,89.062,29.688,3.125,88.073,22.018,3.670,0.000,65.909,54.545,23.864,1.136,33.333,22.727,3.030,0.000,69.811,58.491,20.755,0.000,80.952,64.286,29.762,2.381
7003728,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,94.167,48.333,0.833,48.951,15.385,3.497,0.000,100.000,100.000,40.588,1.765,54.808,54.808,25.481,25.481,100.000,94.406,23.077,0.000,2.222,2.222,2.222,0.000,98.810,42.857,15.476,0.000,100.000,100.000,100.000,16.000,100.000,99.394,24.242,0.000,100.000,100.000,100.000,11.111
7003929,2000000000.000,3000000000.000,10000000000.000,50000000000.000,44.681,41.844,19.149,2.128,100.000,92.308,43.357,2.797,100.000,92.486,32.948,2.312,29.861,20.139,9.722,1.389,100.000,100.000,100.000,23.077,100.000,100.000,39.545,8.182,94.262,57.377,9.016,0.820,100.000,98.065,46.452,10.968,49.606,42.520,30.709,0.787,100.000,91.971,54.015,2.190
7003667,2000000000.000,3000000000.000,10000000000.000,50000000000.000,13.684,4.211,1.579,1.053,67.133,60.140,31.469,3.497,59.722,39.583,18.056,2.778,100.000,92.529,49.425,4.023,97.945,53.425,28.082,6.164,88.356,73.973,34.247,1.370,40.741,28.395,8.642,1.235,98.026,76.316,32.895,3.289,23.358,19.708,6.569,2.920,100.000,100.000,58.696,2.174
7003738,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,63.399,23.529,3.922,100.000,100.000,100.000,0.000,100.000,61.688,16.883,1.948,100.000,100.000,54.023,4.598,98.658,81.208,20.805,2.013,82.105,77.895,34.737,0.000,65.185,60.741,15.556,2.963,99.363,94.904,39.490,4.459,71.329,58.741,18.182,1.399,100.000,100.000,100.000,14.815
7003924,2000000000.000,3000000000.000,10000000000.000,50000000000.000,94.737,78.947,36.842,10.526,87.417,77.483,29.139,1.987,92.903,78.710,30.968,0.645,25.000,23.214,15.179,0.893,39.850,36.090,14.286,0.752,43.972,41.844,19.149,2.128,100.000,92.308,43.357,2.797,100.000,92.486,32.948,2.312,29.861,20.139,9.722,1.389,100.000,100.000,100.000,23.077
7004059,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,64.557,23.418,0.633,100.000,62.805,31.098,3.049,59.346,50.467,26.636,2.804,90.625,84.375,45.312,3.125,100.000,98.361,57.377,4.098,9.615,6.731,3.846,0.000,95.633,93.013,59.389,0.437,100.000,100.000,100.000,6.522,100.000,100.000,74.510,3.268,100.000,100.000,75.145,6.358
7004060,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,62.805,31.098,3.049,59.346,50.467,26.636,2.804,90.625,84.375,45.312,3.125,100.000,98.361,57.377,4.098,9.615,6.731,3.846,0.000,95.633,93.013,59.389,0.437,100.000,100.000,100.000,6.522,100.000,100.000,74.510,3.268,100.000,100.000,75.145,6.358,100.000,99.083,11.009,0.000
7003549,2000000000.000,3000000000.000,10000000000.000,50000000000.000,93.600,84.000,34.400,0.800,98.235,98.235,40.000,4.706,100.000,100.000,45.918,8.673,98.529,89.706,17.647,4.412,100.000,100.000,60.656,13.115,55.556,37.681,11.111,3.865,100.000,57.143,28.571,1.587,100.000,72.973,37.162,9.459,48.387,40.323,15.323,4.032,100.000,98.780,25.000,1.220
7003975,2000000000.000,3000000000.000,10000000000.000,50000000000.000,99.254,51.493,4.478,0.746,100.000,100.000,100.000,14.801,65.873,65.873,65.873,15.873,100.000,100.000,100.000,0.461,100.000,100.000,20.513,0.855,100.000,100.000,69.880,0.402,70.000,70.000,70.000,0.000,100.000,100.000,99.690,0.929,100.000,100.000,99.692,0.308,97.872,97.872,96.277,9.043
7003997,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,100.000,100.000,15.152,100.000,100.000,100.000,5.714,100.000,100.000,85.603,8.560,100.000,100.000,69.307,1.980,100.000,100.000,31.667,3.333,100.000,100.000,91.005,10.582,100.000,100.000,68.449,1.604,67.094,67.094,61.966,11.538,94.262,90.164,11.475,1.639,100.000,100.000,77.439,5.488
7003645,2000000000.000,3000000000.000,10000000000.000,50000000000.000,37.500,20.833,10.417,0.000,100.000,85.567,32.990,6.186,40.000,25.714,20.000,0.000,96.685,87.293,40.884,0.552,60.976,47.561,18.293,0.000,95.902,82.787,34.426,3.279,100.000,85.965,25.439,1.754,87.097,74.194,48.387,35.484,62.176,49.223,5.699,0.000,56.098,49.593,26.423,1.220
7003659,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,100.000,70.000,7.500,100.000,100.000,100.000,0.000,100.000,99.130,29.565,3.478,100.000,57.143,32.298,6.832,100.000,78.736,35.632,9.195,100.000,6.870,2.290,0.000,100.000,100.000,46.154,7.692,100.000,84.375,35.938,1.562,13.684,4.211,1.579,1.053,67.133,60.140,31.469,3.497
7003691,2000000000.000,3000000000.000,10000000000.000,50000000000.000,34.351,31.298,13.740,0.000,100.000,100.000,44.000,6.667,30.275,17.431,0.917,0.000,100.000,100.000,42.857,4.396,100.000,100.000,17.073,0.000,100.000,100.000,15.116,1.163,100.000,96.373,40.415,5.699,100.000,100.000,46.061,4.848,100.000,100.000,31.081,2.703,100.000,100.000,47.716,3.553
7003743,2000000000.000,3000000000.000,10000000000.000,50000000000.000,82.105,77.895,34.737,0.000,65.185,60.741,15.556,2.963,99.363,94.904,39.490,4.459,71.329,58.741,18.182,1.399,100.000,100.000,100.000,14.815,100.000,100.000,75.510,4.490,100.000,100.000,47.248,4.587,100.000,100.000,28.877,3.743,100.000,67.593,14.815,1.852,100.000,62.500,21.324,1.471
7003893,2000000000.000,3000000000.000,10000000000.000,50000000000.000,85.124,76.033,33.884,3.306,100.000,97.024,48.810,11.905,75.610,60.163,33.333,3.252,100.000,100.000,44.444,0.000,18.868,16.981,2.830,0.000,79.167,68.750,22.917,2.083,100.000,100.000,86.364,18.182,88.333,76.667,36.667,6.667,88.406,79.710,44.928,1.449,67.677,61.616,37.374,1.010
7003529,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,74.713,35.632,2.299,100.000,100.000,59.890,10.440,95.862,83.448,17.931,2.069,100.000,100.000,51.515,6.667,100.000,100.000,100.000,3.846,100.000,73.077,27.692,0.000,40.625,35.000,18.125,2.500,100.000,100.000,78.392,6.533,100.000,99.363,6.369,0.000,100.000,100.000,61.818,0.000
7003587,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,100.000,65.385,0.000,37.931,14.483,0.000,0.000,100.000,100.000,48.980,6.122,100.000,76.159,19.205,2.649,100.000,76.821,33.775,5.298,100.000,100.000,50.781,10.938,80.800,45.600,12.800,2.400,100.000,88.050,28.302,3.145,99.515,99.029,42.233,9.223,97.794,44.118,12.500,0.735
7003621,2000000000.000,3000000000.000,10000000000.000,50000000000.000,76.190,9.524,3.571,1.190,99.394,93.333,41.818,5.455,75.000,38.542,26.042,3.125,95.205,79.452,29.452,4.110,76.238,63.366,24.752,0.990,85.294,66.667,32.353,4.902,100.000,100.000,51.613,9.677,65.341,47.159,20.455,1.705,88.506,79.310,42.529,2.299,57.447,53.723,14.894,0.532
7003902,2000000000.000,3000000000.000,10000000000.000,50000000000.000,67.677,61.616,37.374,1.010,100.000,100.000,86.792,7.547,89.506,70.370,12.346,0.617,100.000,100.000,100.000,8.333,85.621,72.549,19.608,0.000,92.308,80.128,37.179,6.410,64.000,52.000,16.000,2.000,78.723,68.085,37.234,1.064,65.254,53.390,19.492,4.237,100.000,97.814,44.262,5.464
7003966,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,100.000,30.045,1.794,100.000,100.000,29.371,1.399,100.000,100.000,100.000,3.175,100.000,100.000,92.508,0.651,100.000,100.000,40.909,0.000,100.000,100.000,38.806,0.746,100.000,99.091,68.182,1.364,100.000,29.661,11.864,0.000,100.000,100.000,52.838,7.424,99.254,51.493,4.478,0.746
7003718,2000000000.000,3000000000.000,10000000000.000,50000000000.000,99.379,99.379,48.447,4.969,100.000,100.000,100.000,42.308,100.000,100.000,36.424,2.649,100.000,100.000,60.396,17.327,100.000,100.000,41.860,6.202,100.000,100.000,30.851,4.255,100.000,96.078,43.137,5.882,94.505,86.813,47.253,10.989,100.000,100.000,61.538,9.615,93.960,48.993,16.779,0.671
7003940,2000000000.000,3000000000.000,10000000000.000,50000000000.000,99.412,84.706,37.059,2.941,69.767,66.667,35.659,1.550,90.598,69.231,26.496,1.709,87.129,81.683,50.495,5.941,100.000,95.200,72.400,4.400,100.000,95.408,71.939,2.551,100.000,100.000,62.585,1.361,92.350,75.410,50.273,1.093,80.663,78.453,58.564,0.000,79.570,61.290,20.430,0.000
7004075,2000000000.000,3000000000.000,10000000000.000,50000000000.000,98.693,98.693,92.157,18.954,100.000,100.000,100.000,33.333,100.000,100.000,63.975,0.621,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7003531,2000000000.000,3000000000.000,10000000000.000,50000000000.000,95.862,83.448,17.931,2.069,100.000,100.000,51.515,6.667,100.000,100.000,100.000,3.846,100.000,73.077,27.692,0.000,40.625,35.000,18.125,2.500,100.000,100.000,78.392,6.533,100.000,99.363,6.369,0.000,100.000,100.000,61.818,0.000,29.245,27.830,5.189,0.000,100.000,73.626,35.165,4.945
7003545,2000000000.000,3000000000.000,10000000000.000,50000000000.000,88.095,65.079,20.635,2.381,100.000,74.857,26.857,1.143,82.353,47.059,15.686,0.000,85.185,82.716,38.272,2.469,93.600,84.000,34.400,0.800,98.235,98.235,40.000,4.706,100.000,100.000,45.918,8.673,98.529,89.706,17.647,4.412,100.000,100.000,60.656,13.115,55.556,37.681,11.111,3.865
7003574,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,78.014,26.241,2.837,71.795,38.462,20.513,0.000,100.000,90.000,43.158,3.158,65.537,37.288,18.079,1.695,100.000,100.000,59.615,14.904,100.000,70.435,18.261,1.739,97.638,76.378,42.520,3.150,100.000,49.045,12.102,4.459,100.000,100.000,65.385,13.462,100.000,94.944,44.382,8.427
7003832,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,100.000,17.874,2.415,98.540,96.350,43.066,9.489,100.000,100.000,32.143,5.952,80.282,79.577,14.085,0.000,99.333,23.333,0.000,0.000,82.576,70.455,23.485,1.515,69.565,56.522,36.232,1.449,100.000,89.796,18.367,0.000,64.516,61.290,16.129,0.000,100.000,100.000,49.254,7.463
7003528,2000000000.000,3000000000.000,10000000000.000,50000000000.000,100.000,94.375,15.000,0.000,100.000,74.713,35.632,2.299,100.000,100.000,59.890,10.440,95.862,83.448,17.931,2.069,100.000,100.000,51.515,6.667,100.000,100.000,100.000,3.846,100.000,73.077,27.692,0.000,40.625,35.000,18.125,2.500,100.000,100.000,78.392,6.533,100.000,99.363,6.369,0.000
