block_number,price,percentagePlus1,percentagePlus2,percentagePlus3,percentagePlus4,percentagePlus5,percentagePlus6,percentagePlus7,percentagePlus8,percentagePlus9,percentagePlus10
6933549,3000000000,21.30,32.65,16.67,92.59,22.66,23.08,46.67,7.38,17.31,55.56
6933636,4550000000,11.11,3.70,42.19,6.67,69.23,87.50,89.29,37.50,40.52,25.00
6933701,2860000000,48.33,1.72,0.68,2.00,100.00,19.73,-1.00,1.49,9.03,1.08
6933790,3432000000,38.04,16.67,9.09,7.41,3.45,50.00,16.90,-1.00,-1.00,-1.00
6933490,3000000000,7.38,22.94,0.98,38.04,17.31,55.56,92.59,43.84,10.00,14.29
6933539,2750000000,32.43,0.81,44.26,2.63,50.00,0.70,2.86,45.05,-1.00,0.89
6933737,3900000000,50.00,13.87,28.81,60.00,1.12,27.34,5.88,58.54,0.52,22.14
6933789,2300000000,3.51,0.70,2.27,85.58,39.58,32.43,0.55,21.28,8.33,20.00
6933919,3000000000,2.00,4.35,12.73,0.00,2.70,0.89,9.30,18.39,9.23,2.22
6933763,3000000000,8.65,15.07,26.76,76.00,27.78,10.00,2.38,6.25,56.67,11.11
6933885,3600000000,25.50,31.16,7.14,9.77,1.99,33.33,5.26,60.00,56.62,90.70
6933943,7000000000,11.04,2.27,42.44,59.57,93.55,80.17,45.45,4.55,10.07,63.44
6933564,3000000000,1.69,29.01,26.19,3.03,22.66,0.80,70.35,66.67,1.69,21.30
6933924,3900000000,65.35,24.66,2.78,79.05,41.55,0.91,33.33,27.84,0.67,1.39
6933938,3100000000,1.85,87.50,5.56,13.64,0.66,10.00,7.01,10.16,-1.00,67.03
6933612,3000000000,1.69,18.24,29.01,26.19,70.35,66.67,3.03,1.69,0.80,21.30
6933531,3750000000,29.77,34.22,62.81,-1.00,27.74,15.38,1.30,64.29,0.65,14.11
6933970,3600000000,60.00,85.45,46.61,0.67,56.62,90.70,1.99,33.33,4.55,7.69
6933388,5000000000,33.77,-1.00,56.25,89.29,40.10,45.52,-1.00,-1.00,28.93,18.52
6933428,6000000000,55.45,60.00,51.91,25.00,48.33,41.09,48.51,1.59,31.45,20.74
6933512,2300000000,20.00,85.58,39.58,0.81,0.70,0.70,8.33,2.27,32.43,3.51
6933592,3000000000,24.24,50.00,9.63,57.72,3.23,20.00,2.22,42.74,0.95,14.29
6933617,2860000000,0.89,1.79,84.78,13.16,19.64,2.63,76.19,2.13,58.33,3.03
6933674,3000000000,31.82,52.94,14.29,4.76,40.52,2.27,25.51,0.68,4.55,0.65
6933858,3000000000,36.84,2.38,100.00,16.67,5.63,31.52,26.89,5.00,26.58,21.65
6933867,5000000000,89.29,33.77,18.52,45.52,55.45,60.00,56.25,28.93,1.59,40.10
6933392,4150987148,89.29,38.12,49.50,60.00,40.46,29.22,11.85,37.31,1.59,-1.00
6933600,3000000000,4.82,-1.00,90.57,55.32,1.25,12.88,2.15,12.20,58.70,71.43
6933728,2860000000,45.05,2.63,2.13,3.03,-1.00,0.89,76.19,1.79,58.33,84.78
6933734,3000000000,24.07,17.89,0.76,48.24,52.46,27.47,2.63,1.57,3.60,76.77
6933842,4000000000,23.20,1.05,62.24,3.12,2.33,3.70,36.09,25.42,26.02,0.58
6933688,3000000000,17.12,3.45,30.00,64.43,4.00,20.31,84.85,9.40,14.29,3.45
6933916,3000000000,1.08,36.51,4.76,30.36,67.98,-1.00,60.00,50.00,21.78,44.83
6933961,2386578227,11.83,2.33,42.86,10.94,91.67,75.47,4.35,0.89,50.00,10.20
6933506,2500000000,0.55,3.51,45.56,7.64,1.06,33.33,29.79,12.87,64.71,96.97
6933533,3000000000,29.41,2.13,100.00,5.26,100.00,41.74,2.70,15.87,94.12,14.29
