block_number,priceStandard,scoreStandardPlus1,scoreStandardPlus2,scoreStandardPlus3,scoreStandardPlus4,scoreStandardPlus5,scoreStandardPlus6,scoreStandardPlus7,scoreStandardPlus8,scoreStandardPlus9,scoreStandardPlus10
7003481,3000000000,100.000,100.000,100.000,54.545,99.387,62.733,100.000,55.696,80.153,56.311
7003582,3000000000,100.000,94.944,36.190,21.918,5.000,100.000,14.483,100.000,76.159,76.821
7003742,4000100100,53.691,73.684,34.074,89.809,42.657,100.000,100.000,100.000,97.861,23.148
7003764,3000000000,24.342,68.421,100.000,67.808,80.000,68.235,65.333,100.000,55.034,55.357
7003453,2000000000,89.076,34.545,100.000,100.000,100.000,100.000,96.241,52.830,100.000,98.286
7003601,3000000000,100.000,74.566,100.000,62.963,84.058,100.000,61.538,63.492,31.163,89.535
7003910,2000000000,65.254,100.000,69.231,100.000,87.671,100.000,100.000,26.042,33.628,100.000
7003631,3000000000,74.324,100.000,100.000,100.000,100.000,100.000,98.734,89.062,22.018,54.545
7003991,10000000000,44.393,59.036,92.857,51.592,45.783,31.373,100.000,100.000,85.603,69.307
7003457,3000000000,100.000,66.935,76.692,40.566,92.500,98.286,34.615,100.000,51.064,100.000
7003886,3000000000,61.404,52.381,52.869,96.020,71.591,60.494,86.802,76.033,97.024,60.163
7003889,2000000000,100.000,82.955,69.136,100.000,85.124,100.000,75.610,100.000,18.868,79.167
7003505,3000000000,7.609,38.433,83.871,100.000,85.276,3.000,32.569,13.483,79.878,100.000
7003588,3000000000,14.483,100.000,76.159,76.821,100.000,45.600,88.050,99.029,44.118,100.000
7003593,3000000000,45.600,88.050,99.029,44.118,100.000,88.649,71.667,42.857,100.000,74.566
7003621,3000000000,9.524,93.333,38.542,78.767,63.366,66.667,100.000,47.159,80.460,53.723
7003681,3000000000,77.536,100.000,43.478,59.574,80.851,89.677,14.085,27.027,78.710,78.689
7003966,9000000000,48.879,32.867,100.000,100.000,64.205,45.522,82.273,18.644,88.210,8.209
7003463,3000000000,34.615,100.000,51.064,100.000,100.000,91.837,51.282,89.320,100.000,100.000
7003562,3000000000,77.083,78.462,59.756,98.857,26.066,76.871,76.923,72.500,84.138,79.021
7003683,3000000000,43.478,59.574,80.851,89.677,14.085,27.027,78.710,78.689,31.298,100.000
7003738,4000100100,45.752,100.000,46.104,100.000,53.691,73.684,34.074,89.809,42.657,100.000
7003854,6000000000,100.000,100.000,77.381,22.927,100.000,86.585,100.000,93.927,100.000,100.000
7003949,3000000000,61.290,93.407,100.000,100.000,100.000,100.000,4.762,100.000,57.059,37.778
7003821,4500000000,50.951,100.000,100.000,80.383,100.000,100.000,73.684,100.000,55.405,83.799
7003872,9000000000,25.828,57.143,100.000,28.000,44.595,44.444,24.444,61.290,35.965,47.899
7003450,2800000000,73.367,15.122,82.883,85.714,33.333,100.000,100.000,100.000,98.387,84.962
7003561,3000000000,75.758,77.083,78.462,59.756,98.857,26.066,76.871,76.923,72.500,84.138
