block_number,priceSlow,priceStandard,priceFast,priceGlacial,scoreSlowPlus1,scoreStandardPlus1,scoreFastPlus1,scoreGlacialPlus1,scoreSlowPlus2,scoreStandardPlus2,scoreFastPlus2,scoreGlacialPlus2,scoreSlowPlus3,scoreStandardPlus3,scoreFastPlus3,scoreGlacialPlus3,scoreSlowPlus4,scoreStandardPlus4,scoreFastPlus4,scoreGlacialPlus4,scoreSlowPlus5,scoreStandardPlus5,scoreFastPlus5,scoreGlacialPlus5,scoreSlowPlus6,scoreStandardPlus6,scoreFastPlus6,scoreGlacialPlus6,scoreSlowPlus7,scoreStandardPlus7,scoreFastPlus7,scoreGlacialPlus7,scoreSlowPlus8,scoreStandardPlus8,scoreFastPlus8,scoreGlacialPlus8,scoreSlowPlus9,scoreStandardPlus9,scoreFastPlus9,scoreGlacialPlus9,scoreSlowPlus10,scoreStandardPlus10,scoreFastPlus10,scoreGlacialPlus10
7003712,1018807478,1020000000,3000000000,1000000000,100.000,100.000,61.194,100.000,100.000,100.000,100.000,100.000,49.215,49.215,49.215,49.215,100.000,100.000,100.000,100.000,100.000,100.000,97.778,100.000,100.000,100.000,49.425,100.000,100.000,99.379,99.379,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
7003797,1000000000,1960162077,3503424821,1000000000,98.214,97.619,80.357,98.214,100.000,23.529,16.471,100.000,100.000,100.000,94.444,100.000,100.000,59.813,44.860,100.000,100.000,44.521,30.137,100.000,100.000,95.745,76.596,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,92.473,100.000
7003830,1080548353,1721592359,5000000000,1000000000,98.883,98.883,82.682,98.883,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,89.051,100.000,100.000,100.000,100.000,100.000,80.282,80.282,30.986,80.282,100.000,100.000,8.667,100.000,100.000,100.000,66.667,100.000,100.000,97.101,53.623,100.000,100.000,100.000,83.673,100.000
7003908,1703306219,1899945499,4000000000,1000000000,100.000,100.000,46.000,100.000,100.000,100.000,61.702,100.000,74.576,72.881,48.305,100.000,100.000,100.000,87.432,100.000,69.231,69.231,69.231,69.231,100.000,100.000,100.000,100.000,100.000,100.000,38.356,100.000,100.000,100.000,100.000,100.000,100.000,100.000,44.068,100.000,42.188,42.188,13.542,42.188
7003676,1016592493,1019427971,2905777323,1000000000,100.000,100.000,100.000,100.000,100.000,100.000,88.485,100.000,100.000,100.000,30.000,100.000,100.000,100.000,97.006,100.000,100.000,100.000,100.000,100.000,100.000,100.000,92.029,100.000,100.000,100.000,100.000,100.000,44.565,44.565,44.022,44.565,100.000,100.000,69.504,100.000,100.000,100.000,85.106,100.000
7003677,1016676972,1019427971,3000000000,1000000000,100.000,100.000,66.061,100.000,100.000,100.000,27.500,100.000,100.000,100.000,70.659,100.000,100.000,100.000,100.000,100.000,100.000,100.000,77.536,100.000,100.000,100.000,100.000,100.000,44.565,44.565,43.478,44.565,100.000,100.000,59.574,100.000,100.000,100.000,80.851,100.000,100.000,100.000,89.677,100.000
7003696,1019391890,1020000000,2811070594,1000000000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,97.778,97.778,97.778,97.778,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,94.118,100.000,100.000,100.000,100.000,100.000
7003562,1000000000,1020000000,2984930794,1000000000,100.000,100.000,93.750,100.000,100.000,100.000,95.385,100.000,98.780,81.707,74.390,98.780,100.000,100.000,100.000,100.000,72.986,41.232,38.863,72.986,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,92.500,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
7003651,1000000000,1020000000,3000000000,1000000000,100.000,100.000,85.965,100.000,100.000,100.000,74.194,100.000,100.000,67.876,49.223,100.000,100.000,60.569,49.593,100.000,100.000,100.000,88.125,100.000,100.000,100.000,70.161,100.000,100.000,76.842,26.842,100.000,100.000,100.000,89.017,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
7003966,1003035496,1201641338,2939228936,1000000000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.153,100.000,100.000,100.000,100.000,100.000,100.000,100.000,98.507,100.000
